ID,x_coord,y_coord
769609006,6282513.79645567,1913966.48011669
769608972,6282673.97717581,1913889.94577298
769608983,6282517.51620228,1913696.31732994
769609000,6282134.98515692,1913629.1770108
769608986,6282474.3821607,1913687.70630246
769609003,6282143.20063554,1913814.2740714
769608981,6282537.93675843,1913771.49477648
769608990,6282448.60913594,1913597.07512755
49529422,6280829.39760463,1914820.82918585
49692749,6282649.08555557,1915118.01147356
49400947,6281104.72642282,1914090.80077887
49585619,6281060.09008845,1913788.3870325
49585620,6280932.0141872,1913745.919924
49585622,6280906.10431605,1913752.11458163
49389402,6282538.49176325,1914292.46598322
49047272,6281670.6451725,1914068.70572386
49132898,6282543.04448499,1914814.34837917
49132896,6282571.59267606,1914811.62509301
49132907,6282620.46185681,1915404.11025399
49132900,6282519.03417515,1914837.69940146
49133414,6281487.24962563,1913968.13891976
49346947,6280894.99235934,1914528.32775856
49346948,6281024.62466093,1914538.65211074
49346946,6280780.70599211,1914511.13778017
49121401,6283753.79794011,1914431.68864487
49121402,6283725.56225144,1914537.56269653
49388644,6283749.38909987,1914065.42827559
49668393,6283728.11408445,1913796.13777303
49132894,6282647.55216513,1914829.55589991
1447909504,6281681.73334792,1914034.66046559
1447909505,6281107.88187016,1914125.15798026
1447909506,6281510.36756416,1913948.0333006
1447909508,6280985.40888946,1914521.82185474
1447909510,6282619.73347882,1915134.09540037
1447909516,6281031.85219055,1913767.09410936
1447909517,6282592.42786421,1915391.83794511
1447909518,6282618.20089858,1914814.09307587
1447932578,6283695.82683271,1913774.8413028
1447932584,6283741.99648252,1914503.9811347
1447939098,6282290.45321727,1915476.74224222
1357321189,6282115.04457204,1915541.00398069
1357321190,6282066.8844421,1915111.48664525
1357321192,6281362.58688143,1915141.88213117
1357321194,6281160.93678181,1914971.36112853
1357321195,6281088.31967866,1914708.19855429
1357321210,6281176.39277392,1913646.69862663
1357321217,6281238.35110836,1913926.14661843
1357321218,6281430.91909508,1914295.961598
1357321219,6281636.40196689,1914283.42868355
1357321220,6281498.99275022,1914036.9513695
1357321221,6281434.04061211,1914032.13501799
1357321222,6281389.18341137,1913854.81819163
1357321224,6281469.04993977,1913708.75623239
2656536529,6280919.22783274,1915167.30988886
735,6282598,1915313
1117,6282030,1914424
1267,6283047,1915462
1558,6283131,1914407
2209,6283288,1914709
2269,6283560,1914182
2479,6281036,1913864
2759,6282887,1914140
3541,6281168,1914381
3602,6281990,1914245
3840,6282188,1915312
4693,6283395,1914117
4791,6283136,1914862
5735,6281257,1914567
8787,6282084,1914314
9199,6282898,1914037
10620,6283040,1914991
10755,6283292,1914163
10787,6282754,1914868
12442,6281530,1914830
15415,6281015,1914025
16236,6281261,1914239
17220,6281424,1914725
17936,6282188,1915163
19622,6282930,1913863
19758,6281685,1914724
19822,6282345,1914775
20188,6281050,1913967
20399,6281284,1914720
20416,6283291,1914976
21550,6282755,1914471
21874,6282714,1914292
22313,6281015,1914448
22945,6282194,1914199
24724,6282697,1915288
26166,6280982,1914356
27473,6281399,1914292
29561,6280945,1914632
31004,6282844,1914638
31716,6282027,1914201
32613,6281676,1914157
32816,6281154,1914314
33125,6282187,1915062
33563,6282080,1914053
33683,6282347,1914931
34184,6282595,1914482
35001,6280910,1914944
35417,6281649,1914450
35592,6282185,1914486
36712,6283132,1914503
38850,6282507,1914036
40346,6282318,1913942
41062,6282540,1914487
42594,6283386,1913688
42985,6282707,1914916
43379,6281536,1914454
44910,6283153,1914035
45395,6282521,1914716
45432,6281215,1914154
45865,6281816,1914405
46977,6283141,1915294
48255,6283545,1915079
48571,6281898,1914060
48812,6281783,1913969
49547,6283385,1914713
49796,6282188,1915213
50342,6283545,1914526
52049,6283529,1914724
52795,6283133,1914261
53100,6282633,1915214
53760,6283289,1914420
54919,6282720,1914716
56080,6283684,1914624
56684,6282063,1914153
56860,6281002,1913637
57064,6283383,1914285
57709,6282649,1914478
59232,6283387,1914871
59499,6282381,1915450
60033,6282345,1914720
61903,6282268,1913923
61965,6282207,1914150
62082,6282892,1914088
62111,6283313,1914006
62130,6283101,1913812
